epoch,blocks
207,21544
208,21556
209,21570
210,21547
211,21315
212,21280
213,21442
214,21452
215,21572
216,21217
217,20728
218,20511
219,21427
220,21627
221,21547
222,21466
223,21374
224,21324
225,21298
226,21439
227,21125
228,21171
229,21229
230,21244
231,21089
232,21149
233,21065
234,21046
235,21203
236,20915
237,21440
238,21245
239,21258
240,21428
241,21399
242,21418
243,21586
244,21491
245,21485
246,21327
247,21508
248,21356
249,21376
250,20991
251,21324
252,21085
253,20922
254,20713
255,21268
256,21059
257,20836
258,21021
259,20796
260,21047
261,21087
262,21194
263,21111
264,21127
265,21427
266,21404
267,21702
268,21413
269,21509
270,21395
271,21410
272,21499
273,21464
274,21521
275,21505
276,21298
277,21323
278,21352
279,21404
280,21204
281,21411
282,21452
283,21412
284,21517
285,21201
286,21504
287,21065
288,21136
289,21195
290,21320
291,21261
292,21264
293,21243
294,20960
295,21081
296,20849
297,21168
298,20840
299,20982
300,21225
301,20989
302,21203
303,20948
304,21095
305,21025
306,21141
307,20910
308,21033
309,20804
310,21045
311,21090
312,20821
313,20267
314,20390
315,20182
316,20141
317,20478
318,20284
319,20414
320,20284
321,20096
322,20393
323,20573
324,20380
325,20541
326,20534
327,20346
328,20579
329,20353
330,20685
331,20704
332,20391
333,20290
334,20232
335,20446
336,20500
337,20794
338,20640
339,20678
340,20670
341,20708
342,20990
343,20994
344,20776
345,21030
346,20578
347,19345
348,19978
349,20972
350,20958
351,20893
352,20575
353,20232
354,20498
355,20825
356,20782
357,20692
358,21169
359,21023
360,21226
361,21242
362,21266
363,21361
364,20964
365,21027
366,21098
367,20902
368,21103
369,21048
370,21170
371,20982
372,21095
373,21095
374,20881
375,20731
376,20525
377,21014
378,21006
379,20948
380,21270
381,20976
382,21186
383,20917
384,20998
385,21174
386,20893
387,21065
388,21194
389,20811
390,20916
391,21084
392,20579
393,20821
394,20553
395,21034
396,21174
397,21003
398,21190
399,20970
400,21062
401,20869
402,21128
403,20893
404,20828
405,20811
406,20954
407,21107
408,21176
409,21000
410,20933
411,21418
412,20966
413,21252
414,21215
415,20820
416,21143
417,20947
418,21066
419,20685
420,20649
421,20907
422,21026
423,20898
424,21035
425,21054
426,20990
427,21085
428,21049
429,21105
430,21089
431,20920
432,20294
433,20936
434,20986
435,21021
436,21262
437,21255
438,20984
439,21209
440,21134
441,21271
442,20981
443,21157
444,21097
445,20936
446,21014
447,21214
448,21134
449,21025
450,20874
451,21110
452,21301
453,20926
454,21160
455,21198
456,20977
457,21328
458,21021
459,20957
460,20863
461,20734
462,20927
463,20404
464,20730
465,20872
466,20923
467,21160
468,21307
469,21263
470,21311
471,21235
472,20954
473,20984
474,20927
475,21227
476,20964
477,20970
478,21243
479,21400
480,21339
481,21405
482,21526
483,21547
484,21461
485,21147
486,21204
487,21041
488,21196
489,21268
490,21149
491,20872
492,21131
493,20982
494,21272
495,21128
496,21102
497,21284
498,21156
499,21176
500,21278
501,21414
502,20928
503,21314
504,21010
505,21180
506,21449
507,20803
508,21025
509,21173
510,21110
511,21137
512,21198
513,21455
514,21310
515,21170
516,21239
517,21527
518,21099
519,20902
520,21119
521,20997
522,20982
523,20783
524,21127
525,20983
526,20920
527,20956
528,21310
529,21286
530,21208
531,21341
532,21481
533,21360
534,21503
535,21217
536,21594
537,21406
538,21058
539,21472
540,21480
541,21172
542,21284
543,21124
544,21022
545,21155
546,21611
547,21583
548,21359
549,21283
550,21209
551,21426
552,21391
553,21536
554,21572
555,21273
556,21601
557,21213
558,21414
559,21104
560,21359
561,21487
562,21488
563,21361
564,21290
565,21465
566,21314
567,21432
568,21535
569,21408
570,21089
571,21364
572,21634
573,21154
574,21382
575,21275
576,21545
577,21373
578,21305
579,21554
580,21348
581,21324
582,21124
583,21080
584,21289
585,21403
586,21420
587,21440
588,21581
589,21062
